ID,cf_name,cf_place_name,cf_custom_place_name,cf_custom_x_coordinate,cf_custom_y_coordinate,cf_custom_region,cf_custom_region_vague,cf_excavation_name,cf_excavation,cf_excavation_start,cf_excavation_end,cf_single_find,cf_hoard,cf_start_year,cf_end_year,cf_vague,cf_num_coins_found,cf_publication_ref,cf_user,cf_comment,cf_date_entered,Coin Find Search,Coin Find Json,Exported at
"17149","""Mecklenburg""","","","53.50000000","12.00000000","","0","","False","1700","2023","True","False","","","False","2.00000000","http://afe.dainst.org/findspot?afeid=826 || http://afe.dainst.org/detailedresult?l=en&link=12896 || http://afe.dainst.org/detailedresult?l=en&link=12897","DAI","","6/16/2023 4:00:03 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=17149","http://csla100w.princeton.edu:82/CoinFindJson/Index/17149","11/23/2024"
"17151","""Müritzgebiet"" - Fundort unbekannt","","","53.48222000","12.62333000","","0","","False","1700","2023","True","False","","","False","1.00000000","http://afe.dainst.org/findspot?afeid=860 || http://afe.dainst.org/detailedresult?l=en&link=12749","DAI","","6/16/2023 4:00:10 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=17151","http://csla100w.princeton.edu:82/CoinFindJson/Index/17151","11/23/2024"
"193","""South Italian hoard""","0","South Italy","40.44044900","16.25820900","Italy|Southern Italy","1","'South Italian hoard'","False","1886","","False","True","395","494","True","255.00000000","Philip Grierson and Melinda Mays, Catalogue of Late Roman Coins in the Dumbarton Oaks Collection and in the Whittemore Collection: From Arcadius and Honorius to the Accession of Anastasius, Dumbarton Oaks Catalogues (Washington, D.C: Dumbarton Oaks Resear","tommi.lankila@gmail.com","A hoard that originates somewhere from South Italy. Only emperors mentioned.","1/1/2016 12:00:00 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=193","http://csla100w.princeton.edu:82/CoinFindJson/Index/193","11/23/2024"
"16185","""VOIRONS"" MOUNTAIN (CHRE-8765)","","","46.19700000","6.27600000","","","","False","1833","1833","False","True","393","423","False","1.00000000","//  TAF V.2: 107; no. 9; Callu, J.-P. and Loriot, X. - 1990 - L&#039;or monnayé 2 : La dispersion des Aurei en Gaule romaine sous l&#039;Empire: no. 147","CHRE","Find spot comment: Without precise findspot.//  Discovery comment: No clear whether is a solidus or tremissis. Just mentioned ""Gold quinarius"" !","10/23/2022 8:40:42 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=16185","http://csla100w.princeton.edu:82/CoinFindJson/Index/16185","11/23/2024"
"17797","""Zabul"" Hoard","0","Zabul Province, Afghanistan","32.30689420","67.12990400","","2","""Zabul"" Hoard","False","2010","2010","False","True","379","420","False","61.00000000","Schindel, Nikolaus. ""Eine Partie von Drachmen des Sasanidenkönigs Yazdgerd I. (399-420)."" In Sources for the history of Sasanian and post-Sasanian Iran, edited by Rika Gyselen, 291-304, Res Orientales 19. Bures-sur-Yvette: Groupe pour l'étude de la civilisation du Moyen-Orient, 2010.","curtopelleilia@gmail.com","","1/11/2024 3:04:54 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=17797","http://csla100w.princeton.edu:82/CoinFindJson/Index/17797","11/23/2024"
"14643","’NASRALLA HOARD’ (CHRE-7743)","","","31.55700000","34.97900000","","","","False","1968","1968","False","True","306","363","False","1121.00000000","Unpublished. Details of the hoard come from communication with Cecilia Meir of the Kadman Numismatic Pavilion at Muza Eretz Israel Museum, Tel Aviv.//  Bijovsky, G. - 2007 - Numismatic Evidence for the Gallus Revolt: The Hoard from Lod: p. 199; No Author - 1968 - A Hoard of Roman Coins of the Fourth Century CE; Waner, M. - 1998 - Roman and Byzantine Coin Hoards From the Land of Israel. Catalogue and Analysis (in Hebrew); Waner, M. and Safrai, Z. - 2001 - A Catalogue of Coin Hoards and the Shelf Life of Coins in Palestine Hoards During the Roman and Byzantine Periods: No. 131","CHRE","Find spot comment: The exact provenance of the hoard is unknown. It possibly derives from Idna.//  Discovery comment: The hoard was donated by Nasralla Sahuri of Bethlehem in 1968. Bijovsky wrote that ""[the dealer] claimed it was discovered in Idna, south-west of Hebron"" (Bijovsky 2007, 199).//  Rating comment: Contact Cecelia Meir at ceciliam@eretzmuseum.org.il for coin level data.","10/23/2022 7:33:09 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=14643","http://csla100w.princeton.edu:82/CoinFindJson/Index/14643","11/23/2024"
"14968","’T GOY (CHRE-9398)","","","52.00200000","5.22700000","","","","False","1930","1930","False","True","395","423","False","1.00000000","","CHRE","","10/23/2022 7:45:43 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=14968","http://csla100w.princeton.edu:82/CoinFindJson/Index/14968","11/23/2024"
"15812","”ROMANAȚI” (CHRE-9337)","","","43.95700000","24.43000000","","","","False","1866","1866","False","True","350","375","False","3530.00000000","//  Moisil, Delia. - 2003 - Un grand trésor de siliques découvert au 19e siècle dans le département de Romanaţi (Roumanie): 41-55","CHRE","Find spot comment: Romanați was a county in the Kingdom of Romania, which covered, between 1859 and 1950, the southwestern part of today county of Olt. The county seat was Caracal.//  Discovery comment: The findspot of the hoard it is unknown.//  Rating comment: Only 71 coins can be entered at the coin data level.","10/23/2022 8:23:31 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=15812","http://csla100w.princeton.edu:82/CoinFindJson/Index/15812","11/23/2024"
"17522","177. Unknown provenance (Hoard B), probably Iran, 1994 or earlier","0","Iran","32.64753140","54.56435160","","1","Hoard B from Iran","False","1994","1994","False","True","399","457","False","59.00000000","Malek, Hodge Mehdi. ""Two Groups of Fifth-Century Sasanian Drachms."" The Numismatic Chronicle 156 (1996): 327-331.","curtopelleilia@gmail.com","No information known concerning circumstances of the find's discovery. Therefore, the year of the original publication has been provided for the reader's orientation. ","10/6/2023 11:38:43 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=17522","http://csla100w.princeton.edu:82/CoinFindJson/Index/17522","11/23/2024"
"212","A Cagliari hoard","471899","Caralis","39.21488600","9.10952200","","0","A Cagliari hoard","False","1862","","False","True","364","491","True","0.00000000","Perantoni Satta, Gavino. ""Rinvenimenti in Sardegna di monete dell'impero d'oriente."" Annali dell'Istituto Italiano di Numismatica 3 (1956): 151-76.","tommi.lankila@gmail.com","","1/1/2016 12:00:00 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=212","http://csla100w.princeton.edu:82/CoinFindJson/Index/212","11/23/2024"
"16578","A Fourth-Century Roman Hoard from Egypt","","Egypt","31.19918060","29.89517160","","1","A Fourth-Century Roman Hoard from Egypt","False","1956","1956","False","True","349","354","False","1468.00000000","Mattingly, Harold. A Fourth-Century Roman Hoard from Egypt. In: Numismatic Chronicle, 6th Ser., Vol. 15, 1956, pp. 179-188.","asorgini27@gmail.com","","2/19/2023 2:38:40 PM","http://csla100w.princeton.edu:82/?FindFocusIDs=16578","http://csla100w.princeton.edu:82/CoinFindJson/Index/16578","11/23/2024"
"16841","A Late Roman Bronze Hoard From the East Containing Die-Links","727070","Alexandria","31.20143500","29.90977300","","1","A Late Roman Bronze Hoard From the East Containing Die-Links","False","1954","1954","False","True","364","392","False","237.00000000","""TODD, MALCOLM. """"A LATE ROMAN BRONZE HOARD FROM THE EAST CONTAINING DIE-LINKS."""" The Numismatic Chronicle and Journal of the Royal Numismatic Society 4, 1964, 235-39""","asorgini27@gmail.com","","5/1/2023 11:32:27 PM","http://csla100w.princeton.edu:82/?FindFocusIDs=16841","http://csla100w.princeton.edu:82/CoinFindJson/Index/16841","11/23/2024"
"16850","A Seventh-Century Hoard at Carthage","314921","Carthago","36.85305600","10.32305600","","0","Seventh-Century Hoard at Carthage","False","1945","1945","False","True","393","668","False","72.00000000","""WHITTING, P. D. """"A SEVENTH-CENTURY HOARD AT CARTHAGE."""" The Numismatic Chronicle (1966-) 6, 1966, 225-33.""","asorgini27@gmail.com","","5/2/2023 9:50:25 PM","http://csla100w.princeton.edu:82/?FindFocusIDs=16850","http://csla100w.princeton.edu:82/CoinFindJson/Index/16850","11/23/2024"
"15395","AACHEN URSULINERSTRASSE (CHRE-17083)","","","50.77480000","6.08620000","","","","False","","1925","False","True","330","348","False","11.00000000","//  FMRD VI 2.2: Hoard 2441 / p. 75","CHRE","","10/23/2022 8:05:06 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=15395","http://csla100w.princeton.edu:82/CoinFindJson/Index/15395","11/23/2024"
"14937","ABA (CHRE-7479)","","","47.03300000","18.52200000","","","","False","1935","1936","False","True","330","341","False","90.00000000","//  FMRU I: 22-23; Csánky, M. - 1936 - Az abai éremlelet: 68-70","CHRE","//  Discovery comment: The hoard was found during work on the Dinnyés Kajtor canal in the Bodkajtor district","10/23/2022 7:44:37 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=14937","http://csla100w.princeton.edu:82/CoinFindJson/Index/14937","11/23/2024"
"9437","Abbeville (Loriot #269)","0","Abbeville, France","50.10608350","1.83370290","","0","Abbeville single find","False","1880","1880","True","False","335","335","False","1.00000000","Loriot, Xavier. ""Vingt ans après... Supplément à l'inventaire des trouvailles de monnaies d'or isolées faites en Gaule romaine (44 av. - 491 apr. J.-C.)."" Trésors monétaires 25 (2011/2012): 308, no. 269. ","ipelle@princeton.edu","","2/15/2021 5:44:40 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=9437","http://csla100w.princeton.edu:82/CoinFindJson/Index/9437","11/23/2024"
"15548","ABBEVILLE 1884 (CHRE-11755)","","","50.10600000","1.83700000","","","","False","1884","1884","False","True","351","353","False","1.00000000","//  Callu, J.-P. and Loriot, X. - 1990 - L&#039;or monnayé 2 : La dispersion des Aurei en Gaule romaine sous l&#039;Empire: no. 1487","CHRE","","10/23/2022 8:11:29 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=15548","http://csla100w.princeton.edu:82/CoinFindJson/Index/15548","11/23/2024"
"15555","ABBEVILLE BEFORE 1880 (CHRE-11994)","","","50.10600000","1.83700000","","","","False","","1880","False","True","335","335","False","1.00000000","//  Loriot, X. - 2013 - Vingt ans après... : Supplément à l&#039;inventaire des trouvailles de monnaies d&#039;or isolées faites en Gaule romaine (44 av.- 491 apr. J.-C.).: 308; no. 269","CHRE","","10/23/2022 8:11:50 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=15555","http://csla100w.princeton.edu:82/CoinFindJson/Index/15555","11/23/2024"
"14156","ABICADA (CHRE-17779)","","","37.14595847","-8.54038177","","","","False","1900","2000","False","True","358","395","False","24.00000000","//  Martínez Chico, D. - 2020 - Los tesoros imperiales de Hispania: 444; no. 314; Sienes Hernando, M. - 2000 - As imitações de moedas de bronze do século IV d.C. na Península Ibérica. O caso do AE2 Reparatio Reipub: no. 38","CHRE","","10/23/2022 7:13:52 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=14156","http://csla100w.princeton.edu:82/CoinFindJson/Index/14156","11/23/2024"
"16866","Absen, Gemeinde Rodenkirchen","","Absen","53.39580000","8.42300000","","0","","False","","","False","True","324","355","False","4.00000000","Die Fundmünzen der Römischen Zeit in Deutschland. Abteilung VII, Vol. 1-3. 1988.","mmastnak@princeton.edu","Gifted to Dr. R.G.H. Heye in Rodenkirchen by an earth-worker during the First World War. Exact find locations are unknown, but according to Heye the coins were found in Absen. ","5/4/2023 2:36:00 PM","http://csla100w.princeton.edu:82/?FindFocusIDs=16866","http://csla100w.princeton.edu:82/CoinFindJson/Index/16866","11/23/2024"
"14460","ABUALANDA (CHRE-7848)","","","31.90300000","35.96300000","","","","False","1977","1977","False","True","328","500","False","17.00000000","//   - 1977 - Coin Hoards: volume III: p. 69, no. 224; Kent, J. - 1994 - The Roman Imperial Coinage : 10. The divided Empire and the fall of the western parts AD 395-491: p. lxxxviii","CHRE","","10/23/2022 7:25:46 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=14460","http://csla100w.princeton.edu:82/CoinFindJson/Index/14460","11/23/2024"
"14904","ÅBY (CHRE-4582)","","","56.58933700","16.64985600","","","","False","1946","1946","False","True","395","491","False","80.00000000","//  Fagerlie, J.M. - 1967 - Late Roman and Byzantine solidi found in Sweden and Denmark: 191-2, no. 99; Bland, R. - 1997 - Changing patterns of hoards of precious metal coins in the late Empire: table 4, no. 256; Hobbs, R. - 2006 - Late Roman precious metal deposits, c. AD 200-700 : changes over time and space: no. 1672","CHRE","","10/23/2022 7:43:36 AM","http://csla100w.princeton.edu:82/?FindFocusIDs=14904","http://csla100w.princeton.edu:82/CoinFindJson/Index/14904","11/23/2024"
