FindID1,FindID2,Similarity (%)
13107,9319,100.00
3794,13311,100.00
15041,18338,100.00
17902,17903,100.00
13339,13340,100.00
17330,17333,100.00
17924,17926,100.00
16475,16476,100.00
16475,16477,100.00
16476,16477,100.00
16478,16479,100.00
16481,16482,100.00
16484,16485,100.00
17870,17517,100.00
17915,17887,100.00
9695,9678,100.00
9695,9675,100.00
9695,9676,100.00
9678,9675,100.00
9678,9676,100.00
9675,9676,100.00
16222,15547,100.00
15263,14979,100.00
13644,13645,100.00
18268,18293,100.00
14294,14295,100.00
13773,13770,100.00
13828,13829,100.00
13771,13775,100.00
13646,13647,100.00
17769,17770,100.00
16595,16597,75.00
14206,14207,50.00
18310,18309,50.00
14518,14521,50.00
10474,10475,50.00
9682,9684,50.00
9682,9687,50.00
13149,13150,50.00
14522,14518,40.00
14041,14040,40.00
10470,10480,40.00
17426,17427,37.50
14519,14522,33.33
14517,14518,33.33
14454,14455,33.33
14006,13979,33.33
12436,12437,33.33
10477,10480,33.33
10484,10485,33.33
10485,10486,33.33
10485,10489,33.33
10486,10489,33.33
9687,9689,33.33
16672,16602,33.33
14787,14785,33.33
13241,13242,33.33
17427,17430,30.77
16671,16601,30.56
14646,14679,29.17
14519,14517,28.57
15721,13417,28.57
17272,17273,27.91
17429,17430,27.27
10356,10360,27.27
16363,14606,27.27
16672,16609,26.67
16689,16682,26.53
16790,16789,25.00
14610,14611,25.00
14519,14518,25.00
14583,14584,25.00
13207,13200,25.00
17427,17429,25.00
10469,10467,25.00
10473,10475,25.00
10483,10486,25.00
9682,9689,25.00
13774,13850,25.00
15141,15142,25.00
17888,17886,25.00
13374,13373,24.71
1334,13374,24.19
13412,13389,23.56
16602,16609,23.53
13376,13373,23.47
17340,17341,22.73
16690,16682,22.54
13374,13376,22.37
14391,14392,22.22
14522,14517,22.22
10967,10970,22.22
17502,17506,22.22
16690,16689,21.69
9289,9284,20.97
16601,16600,20.83
14373,13986,20.00
14522,14521,20.00
499,242,20.00
15721,15715,20.00
16155,16154,20.00
10470,10473,20.00
10470,10476,20.00
10472,10476,20.00
10473,10476,20.00
10467,10481,20.00
9682,9688,20.00
16602,16601,20.00
17914,17972,20.00
14515,14516,18.18
16891,16892,18.18
16672,16671,17.86
16601,16609,17.86
13363,13362,17.65
14480,14479,17.65
17489,17488,17.39
1334,13376,17.36
13336,13299,17.24
9286,9289,17.07
9284,16871,16.82
506,507,16.67
14213,14205,16.67
14392,14397,16.67
14517,14521,16.67
14630,14686,16.67
11025,11026,16.67
15715,13417,16.67
10470,10477,16.67
10471,10474,16.67
10477,10473,16.67
10477,10476,16.67
10477,10482,16.67
10473,10480,16.67
10473,10474,16.67
10480,10476,16.67
10480,10482,16.67
10970,10968,16.67
16672,16601,16.67
16671,16602,16.67
16888,16890,16.67
16889,16892,16.67
1334,13373,15.92
13570,13572,15.38
14466,14467,15.38
10356,10352,15.38
16672,16600,15.38
15074,14601,15.38
13336,13356,15.25
16678,16679,14.29
14855,14609,14.29
17512,17513,14.29
17428,17429,14.29
10471,10481,14.29
10480,10474,14.29
10481,10482,14.29
13387,13414,14.29
17274,17273,13.64
16671,16600,13.33
17275,17273,13.04
5026,510,12.50
17454,17453,12.50
14621,14675,12.50
424,425,12.50
12440,12441,12.50
10469,10481,12.50
10477,10481,12.50
10480,10481,12.50
10474,10481,12.50
10599,10600,12.50
17506,17505,12.50
15141,15144,12.50
14414,14415,12.50
16891,16871,12.22
9286,16891,12.12
16695,16682,12.00
17426,17429,11.76
16767,16766,11.76
16671,16609,11.76
14810,14586,11.11
5026,2564,11.11
14391,14397,11.11
13295,13294,11.11
10469,10479,11.11
10967,10968,11.11
10311,10312,11.11
10614,10612,11.11
15144,15145,11.11
9286,9284,10.91
16689,16695,10.53
13356,13357,10.53
17426,17430,10.53
14684,14682,10.45
9284,16891,10.34
13570,13571,10.00
17427,17428,10.00
14716,14717,10.00
16764,16766,10.00
371,372,10.00
9684,9688,10.00
9687,9688,10.00
9286,16892,9.52
14646,14113,9.52
13413,13415,9.52
9291,9292,9.09
14390,14395,9.09
14390,14397,9.09
14395,14396,9.09
18258,18276,9.09
15665,14739,9.09
10583,10584,9.09
15026,14494,8.70
16968,17271,8.70
14390,14392,8.33
9285,16891,8.33
9689,9688,8.33
17272,17274,8.11
16582,17110,7.94
17272,17275,7.89
3793,2564,7.69
9286,16871,7.69
13230,13231,7.69
16683,16682,7.69
15288,14815,7.69
10969,10968,7.69
10360,10352,7.69
5025,3793,7.35
386,371,7.14
17426,17428,7.14
10969,10970,7.14
10969,10971,7.14
10301,10302,7.14
13415,13417,7.14
14687,14606,7.14
17454,17455,7.02
17454,17452,6.98
13356,13299,6.98
14660,14661,6.90
39,13374,6.82
13571,13572,6.67
16530,17874,6.67
17506,17482,6.67
16363,14687,6.52
14734,15026,6.45
3793,506,6.45
16601,16610,6.45
9285,9284,6.38
16690,16683,6.35
16690,16695,6.35
11175,38,6.25
14393,14395,6.25
16875,16874,6.25
9289,16891,6.25
16602,16600,6.25
16892,16871,6.10
14660,14586,5.88
17998,17999,5.88
10353,10364,5.88
9285,9289,5.71
9289,16871,5.66
2564,510,5.56
523,535,5.56
16672,16610,5.56
16671,16610,5.56
13356,13298,5.26
15287,14815,5.26
16766,16765,5.26
16600,16610,5.26
16600,16609,5.26
15515,14547,5.26
13249,13374,5.13
39,1334,5.13
16689,16683,5.00
16602,16610,5.00
16889,16891,5.00
9285,16871,4.82
16841,13358,4.76
9286,16888,4.76
16890,16891,4.76
16999,9313,4.65
16689,16694,4.65
9286,9285,4.55
17512,17514,4.55
17452,17453,4.55
14485,14228,4.55
15287,15288,4.35
14322,14321,4.35
10355,10362,4.35
10637,10639,4.35
13845,13848,4.35
16610,16609,4.35
5025,506,4.17
242,275,4.17
17240,17241,4.17
9284,16892,4.17
16888,16891,4.17
13336,13298,4.00
13336,13357,3.92
18307,384,3.85
10233,10235,3.85
13249,13376,3.70
3794,3793,3.70
3793,13311,3.70
3793,507,3.70
14679,14113,3.70
13413,13412,3.70
13413,13389,3.62
16888,16871,3.61
13322,13323,3.57
18258,17520,3.50
16694,16682,3.33
5026,3793,3.23
14274,16091,3.23
15716,15717,3.23
15088,15406,3.23
13412,13417,3.12
13417,13389,3.05
13412,13415,3.01
17455,17452,2.94
10442,10443,2.94
13415,13389,2.94
10002,10024,2.86
17502,17482,2.74
540,10006,2.67
13357,13299,2.50
13973,14007,2.44
5025,2564,2.29
10395,10861,2.27
9284,16889,2.27
16689,16693,2.22
9284,16888,2.08
17455,17453,1.67
13298,13299,1.67
5025,510,1.65
39,13376,1.64
5025,5026,1.64
13412,13416,1.55
13387,13389,1.50
13249,13373,1.47
16690,16694,1.45
16690,16693,1.43
39,13373,1.35
16889,16871,1.23
13249,1334,0.86
5025,507,0.84
15721,13412,0.77
13387,13412,0.76
13414,13389,0.76
15721,13389,0.75
13257,13286,0.70
17520,18297,0.39
17520,18276,0.39
17520,18287,0.39
